,raw,char,line
142,"ANNE: Oh, she mustn't.",ANNE,"Oh, she mustn't."
143,DIANA: I have to get back; she'll be suspicious.,DIANA,I have to get back; she'll be suspicious.
144,ANNE:  Wilt thou give me a lock of thy jet black tresses?,ANNE, Wilt thou give me a lock of thy jet black tresses?
145,DIANA: But I don't have any black dresses.,DIANA,But I don't have any black dresses.
146,ANNE: Your hair.,ANNE,Your hair.
147,DIANA: Alright.  I have to go.,DIANA,Alright.  I have to go.
148,"ANNE: Farewell, my beloved friend.   Henceforth we must be strangers living side by side, but my heart will be ever faithful to thee.",ANNE,"Farewell, my beloved friend.   Henceforth we must be strangers living side by side, but my heart will be ever faithful to thee."
149,SCENE: The schoolhouse.,SCENE,The schoolhouse.
150,MISS STACEY: Would you join us in the classroom?  And how about you?  You want to join our class?  ,MISS STACEY,Would you join us in the classroom?  And how about you?  You want to join our class?  
151,SCENE: Inside the schoolhouse.,SCENE,Inside the schoolhouse.
152,"MISS STACEY: Good morning, class.  Please, sit down.  I am your new teacher, Miss Stacey.  I want to begin by saying that I think it's most unfair that the teacher should always have to ask all the questions, and I'm hoping that you'll be enthusiastic enough about my classes that you'll pepper me with questions.  I shall do my very best to live up to the standards you were used to under Mr. Phillips.  But, I caution you, I am unfailingly strict about punctuality and attention in class.  However, I do believe that the best teacher serves as a guide, and I promise you that if you are willing to put yourself under my guidance, I shall do my utmost to help you form strong ideals; ideals which will be the foundation of your future lives.  I want to look back on this class as being the brightest, the most imaginitive, the most committed students on Prince Edward Island.",MISS STACEY,"Good morning, class.  Please, sit down.  I am your new teacher, Miss Stacey.  I want to begin by saying that I think it's most unfair that the teacher should always have to ask all the questions, and I'm hoping that you'll be enthusiastic enough about my classes that you'll pepper me with questions.  I shall do my very best to live up to the standards you were used to under Mr. Phillips.  But, I caution you, I am unfailingly strict about punctuality and attention in class.  However, I do believe that the best teacher serves as a guide, and I promise you that if you are willing to put yourself under my guidance, I shall do my utmost to help you form strong ideals; ideals which will be the foundation of your future lives.  I want to look back on this class as being the brightest, the most imaginitive, the most committed students on Prince Edward Island."
153,SCENE: The schoolhouse.,SCENE,The schoolhouse.
154,"MISS STACEY: Please remain after class, Anne.  I'd like to have a few words with you.  [after class] I'm disappointed in you, Anne.  Reading novels during geometry class is a misuse of your time.  Moreover, it's a deception.",MISS STACEY,"Please remain after class, Anne.  I'd like to have a few words with you.  [after class] I'm disappointed in you, Anne.  Reading novels during geometry class is a misuse of your time.  Moreover, it's a deception."
155,"ANNE: Can you ever forgive me, Miss Stacey?  I promise I won't even look at Ben Hur for a whole week as penance, not even to see how the chariot race turned out.",ANNE,"Can you ever forgive me, Miss Stacey?  I promise I won't even look at Ben Hur for a whole week as penance, not even to see how the chariot race turned out."
156,"MISS STACEY: I'm returning this to you because I Know I can trust you not to let it happen again.  Oh, Anne, you know I want to encourage you to read literature, to develope your imagination; it's a prescious gift.  But not during geometry class.",MISS STACEY,"I'm returning this to you because I Know I can trust you not to let it happen again.  Oh, Anne, you know I want to encourage you to read literature, to develope your imagination; it's a prescious gift.  But not during geometry class."
157,"ANNE: Miss Stacey, I knew you were sympathetic to the human plight the minute we met.",ANNE,"Miss Stacey, I knew you were sympathetic to the human plight the minute we met."
158,MISS STACEY: I understand you have a plight of your own.,MISS STACEY,I understand you have a plight of your own.
159,"ANNE: Diana Barry.  We were bosom friends, but alas, her mother's refused to even let her speak with me.",ANNE,"Diana Barry.  We were bosom friends, but alas, her mother's refused to even let her speak with me."
160,"MISS STACEY: Yes, I had a visit from Mrs. Barry.",MISS STACEY,"Yes, I had a visit from Mrs. Barry."
161,ANNE: I can't understand the social persecution of being an orphan.  It is a terrible injustice to be falsely accused.,ANNE,I can't understand the social persecution of being an orphan.  It is a terrible injustice to be falsely accused.
162,"MISS STACEY: Sometimes people don't want to hear the truth, Anne.  You see, it frightens them, so they put up walls to protect themselves from it.  What we must bear in mind is that all these trials and tribulations that pop up in our lives, well, they serve a very useful purpose: they build character, as long as we can hold on to the lessons we've learn from our mistakes.  Remember, we can always start everything fresh tomorrow.",MISS STACEY,"Sometimes people don't want to hear the truth, Anne.  You see, it frightens them, so they put up walls to protect themselves from it.  What we must bear in mind is that all these trials and tribulations that pop up in our lives, well, they serve a very useful purpose: they build character, as long as we can hold on to the lessons we've learn from our mistakes.  Remember, we can always start everything fresh tomorrow."
163,"ANNE: That is a tremendous consolation, Miss Stacey.",ANNE,"That is a tremendous consolation, Miss Stacey."
164,MISS STACEY: Hmm?,MISS STACEY,Hmm?
165,ANNE:  Tomorrow is always fresh with no mistakes in it.,ANNE, Tomorrow is always fresh with no mistakes in it.
166,"MISS STACEY: Well, there's no mistakes in it yet.  As far as the truth goes, don't lose heart.  Diana will always be your friend.  No matter what anyone accuses you of, in the end  the truth will set you free.",MISS STACEY,"Well, there's no mistakes in it yet.  As far as the truth goes, don't lose heart.  Diana will always be your friend.  No matter what anyone accuses you of, in the end  the truth will set you free."
167,ANNE: The truth will set you free.,ANNE,The truth will set you free.
168,Script Index -- 1 -- 2 -- 3 -- 4 -- 5 -- 6 -- 7 -- 8 -- Next,Script Index -- 1 -- 2 -- 3 -- 4 -- 5 -- 6 -- 7 -- 8 -- Next,
0,Script: Part 5,Script,Part 5
1,SCENE: The Cuthbert kitchen.,SCENE,The Cuthbert kitchen.
2,MARILLA:  Did you bring the pudding?,MARILLA, Did you bring the pudding?
3,"ANNE:  Excuse me for a minute, Marilla; here's something I've got to check outside for a moment.",ANNE," Excuse me for a minute, Marilla; here's something I've got to check outside for a moment."
4,"MARILLA:  What do you have to check?  Oh, that girl.",MARILLA," What do you have to check?  Oh, that girl."
5,ANNE:  Perhaps we should have the plum pudding without the sauce.,ANNE, Perhaps we should have the plum pudding without the sauce.
6,MARILLA:  Whatever for?  I've never served it without the sauce.,MARILLA, Whatever for?  I've never served it without the sauce.
7,"ANNE:  I forgot to put the cheese cloth over it last night.   I was imagining I was a nun, on my way to the altar to take the vows--",ANNE," I forgot to put the cheese cloth over it last night.   I was imagining I was a nun, on my way to the altar to take the vows--"
8,"MARILLA:  Well, then you were lucky that the mice had sense enough to stay away from it.  [knock at door]  Oh, goodness gracious.  Who could that be now, at this hour just before supper?  Oh, Miss Stacy!",MARILLA," Well, then you were lucky that the mice had sense enough to stay away from it.  [knock at door]  Oh, goodness gracious.  Who could that be now, at this hour just before supper?  Oh, Miss Stacy!"
9,"MISS STACY:  Good evening, Miss Cuthbert.  Well, I was just over at the Barry's and, well, I thought I'd take the opportunity to stop by.",MISS STACY," Good evening, Miss Cuthbert.  Well, I was just over at the Barry's and, well, I thought I'd take the opportunity to stop by."
10,"MARILLA:  What has she done, now?  I hope this carfuffle with Diana Barry hasn't made her neglect her studies.",MARILLA," What has she done, now?  I hope this carfuffle with Diana Barry hasn't made her neglect her studies."
11,"MISS STACY:  No. No, no, not at all--quite the contrary.  Anne is doing simply excellent work, which is why I'm here.  I wondered, would you permit her to join a special class?  You see, I intend to give extra classes after school for those students who intend to take the entrance exams at Queens.",MISS STACY," No. No, no, not at all--quite the contrary.  Anne is doing simply excellent work, which is why I'm here.  I wondered, would you permit her to join a special class?  You see, I intend to give extra classes after school for those students who intend to take the entrance exams at Queens."
12,MARILLA:  The college in Charlottetown?  Our Anne?,MARILLA, The college in Charlottetown?  Our Anne?
13,"MISS STACY:  She's bright and energetic, and, well, very determined.  I think that she could pass for a teacher, or even go on to the university.",MISS STACY," She's bright and energetic, and, well, very determined.  I think that she could pass for a teacher, or even go on to the university."
14,"MARILLA:  Well, I always thought that a girl should learn to make a living; it's a very insecure world.  Well, of course she can join the class, if she wants to.",MARILLA," Well, I always thought that a girl should learn to make a living; it's a very insecure world.  Well, of course she can join the class, if she wants to."
15,"MISS STACY:  Well, that is wonderful!",MISS STACY," Well, that is wonderful!"
16,MARILLA:  Why don't you stay for supper?  I'm just about to set the table.,MARILLA, Why don't you stay for supper?  I'm just about to set the table.
17,"MISS STACY:  Oh, no.  Oh, no.  I--  Really, I couldn't impose.",MISS STACY," Oh, no.  Oh, no.  I--  Really, I couldn't impose."
18,"MARILLA:  Oh, stuff and nonsense!  You wouldn't be imposing at all, and then you can tell Anne all about it, yourself.",MARILLA," Oh, stuff and nonsense!  You wouldn't be imposing at all, and then you can tell Anne all about it, yourself."
19,"MISS STACY:  Well, alright.",MISS STACY," Well, alright."
20,SCENE: The Cuthbert living room.,SCENE,The Cuthbert living room.
21,"MISS STACY:  That was a delicious din, Miss Cuthbert.",MISS STACY," That was a delicious din, Miss Cuthbert."
22,"MARILLA:  Oh, thank you, Miss Stacy.  Anne actually made this plum pudding herself.",MARILLA," Oh, thank you, Miss Stacy.  Anne actually made this plum pudding herself."
23,"MISS STACY:  Oh really?  Well, I can hardly wait to taste it.",MISS STACY," Oh really?  Well, I can hardly wait to taste it."
24,"MARILLA:  Oh, please, do.",MARILLA," Oh, please, do."
25,"ANNE:  DON'T EAT IT, MISS STACY!",ANNE," DON'T EAT IT, MISS STACY!"
26,"MARILLA:  Anne, what is wrong with you?",MARILLA," Anne, what is wrong with you?"
27,"ANNE:  A mouse drowned in the sauce, Marilla.  I was working up the courage to tell you when Miss Stacy came and...",ANNE," A mouse drowned in the sauce, Marilla.  I was working up the courage to tell you when Miss Stacy came and..."
28,"MARILLA:  Anne, if you intend to go for teacher, you are going to have to give up your featherbrained ways.  You are not interested in anything but your silly daydreams and nothing else.",MARILLA," Anne, if you intend to go for teacher, you are going to have to give up your featherbrained ways.  You are not interested in anything but your silly daydreams and nothing else."
29,"ANNE:  I really am trying to overcome my faults, Marilla.  I chatter on far too much.  But if you only knew how many things I want to say and don't, you'd give me some credit.",ANNE," I really am trying to overcome my faults, Marilla.  I chatter on far too much.  But if you only knew how many things I want to say and don't, you'd give me some credit."
30,MISS STACY:  [laughs],MISS STACY, [laughs]
31,"ANNE:  Well, I suppose in the end it was a romantic way to perish, for a mouse.",ANNE," Well, I suppose in the end it was a romantic way to perish, for a mouse."
32,SCENE: The schoolhouse.,SCENE,The schoolhouse.
33,MISS STACY:  Marissa.,MISS STACY, Marissa.
34,STUDENT: Thank you.,STUDENT,Thank you.
35,MISS STACY:  Good afternoon.  Diana.,MISS STACY, Good afternoon.  Diana.
36,"DIANA:  Thank you, Miss Stacy.",DIANA," Thank you, Miss Stacy."
37,MISS STACY:  You're welcome.,MISS STACY, You're welcome.
38,ANNE:  Aren't you going to be in the Queen's class?,ANNE, Aren't you going to be in the Queen's class?
39,DIANA:  Mother says I should concentrate on learning to run a household instead of pouring over books so much.,DIANA, Mother says I should concentrate on learning to run a household instead of pouring over books so much.
40,"ANNE:  Oh, Diana.   I feel as though you've tasted the bitterness of death.",ANNE," Oh, Diana.   I feel as though you've tasted the bitterness of death."
41,MISS STACY:  Alright class.  Let's start with the Latin verbs.  We'll move on to algebra after that.  Please open your books at page three.,MISS STACY, Alright class.  Let's start with the Latin verbs.  We'll move on to algebra after that.  Please open your books at page three.
42,  ,  ,
43,SCENE: The Cuthbert kitchen.,SCENE,The Cuthbert kitchen.
44,"MARILLA:  Now be sure you get Matthew's meals on time, and I should be home tomorrow before supper.",MARILLA," Now be sure you get Matthew's meals on time, and I should be home tomorrow before supper."
45,ANNE:  Have a lovely time.  Do you think you'll meet the prime minister?,ANNE, Have a lovely time.  Do you think you'll meet the prime minister?
46,"MARILLA:  Oh, if Rachel has anything to do with it, we'll more than meet him.  He shall be subjected to a lecture on the ills of Prince Edward Island, the country, and the world -- in that order.  Be good.",MARILLA," Oh, if Rachel has anything to do with it, we'll more than meet him.  He shall be subjected to a lecture on the ills of Prince Edward Island, the country, and the world -- in that order.  Be good."
47,ANNE:  Bye.,ANNE, Bye.
48,SCENE: The Cuthbert living room.,SCENE,The Cuthbert living room.
49,"ANNE:  Mrs. Lynde says the country's going to the dogs, the way the government runs things.  Do you think that's true, Matthew?",ANNE," Mrs. Lynde says the country's going to the dogs, the way the government runs things.  Do you think that's true, Matthew?"
50,MATTHEW:  Rachel Lynde is a Grit.,MATTHEW, Rachel Lynde is a Grit.
51,"ANNE:  She says, ""If women were allowed to vote, we would soon see a blessed change.""  Which way do you vote, Matthew?",ANNE," She says, ""If women were allowed to vote, we would soon see a blessed change.""  Which way do you vote, Matthew?"
52,MATTHEW:  I vote Conservative.,MATTHEW, I vote Conservative.
53,"ANNE:  Then I'm a Conservative, too.  I'm glad 'cause Gil--, I mean, some of the boys at school are Grits.  Ruby Gillis says that when a man is courting, he always has to agree with the girl's mother in religion and her father in politics.  Ruby Gillis knows all about courting because she has three older sisters.  Did you ever go courting, Matthew?",ANNE," Then I'm a Conservative, too.  I'm glad 'cause Gil--, I mean, some of the boys at school are Grits.  Ruby Gillis says that when a man is courting, he always has to agree with the girl's mother in religion and her father in politics.  Ruby Gillis knows all about courting because she has three older sisters.  Did you ever go courting, Matthew?"
54,"MATTHEW:  Well, I don't knows if I have.",MATTHEW," Well, I don't knows if I have."
55,"ANNE:  Never, ever, ever?  [he shakes his head no] Why ever not?",ANNE," Never, ever, ever?  [he shakes his head no] Why ever not?"
56,"MATTHEW:  Well, I couldn't do it without talking to a girl.",MATTHEW," Well, I couldn't do it without talking to a girl."
57,"ANNE:  Well, I'm sure there were many broken hearts as a result.",ANNE," Well, I'm sure there were many broken hearts as a result."
58,"MATTHEW:  Oh, go on.",MATTHEW," Oh, go on."
59,"ANNE:  Ruby Gillis says when she grows up, she wants to have a line of beaus on a string and make them crazy for her.  I'd rather have one in his rightful mind.  There are some things in this world that even I cannot hope to understand.",ANNE," Ruby Gillis says when she grows up, she wants to have a line of beaus on a string and make them crazy for her.  I'd rather have one in his rightful mind.  There are some things in this world that even I cannot hope to understand."
60,"MATTHEW:  Well, I don't know if I can comprehend all of them, either.",MATTHEW," Well, I don't know if I can comprehend all of them, either."
61,ANNE:  Diana?,ANNE, Diana?
62,"DIANA:  My little sister's awful sick with the croup, and Mary Joe's babysitting.  She doesn't know what to do.  And we can't get word to mother and father because they're at the rally still.",DIANA," My little sister's awful sick with the croup, and Mary Joe's babysitting.  She doesn't know what to do.  And we can't get word to mother and father because they're at the rally still."
63,"ANNE:  Don't worry, Diana.  Matthew will get the doctor.   We're such kindred spirits, I can read his thoughts.",ANNE," Don't worry, Diana.  Matthew will get the doctor.   We're such kindred spirits, I can read his thoughts."
64,"DIANA:  Dr. Blair's at the rally, too.  Oh, Anne, I'm scared.  The baby can't breathe.",DIANA," Dr. Blair's at the rally, too.  Oh, Anne, I'm scared.  The baby can't breathe."
65,"ANNE:  Get my coat, Diana.  Stop crying, Diana.  I know exactly what to do for the croup.  Ipecac is an expectorant.  Mrs. Hammond's three sets of twins all had croup regularly, Diana, and it was me that treated them.",ANNE," Get my coat, Diana.  Stop crying, Diana.  I know exactly what to do for the croup.  Ipecac is an expectorant.  Mrs. Hammond's three sets of twins all had croup regularly, Diana, and it was me that treated them."
66,SCENE: The Barry house.,SCENE,The Barry house.
67,"ANNE:  She's pretty bad, but I've seen worse. Put some wood in the stove, Mary Joe, and boil some water.  I don't mean to hurt your feelings, but you might have thought of that before if you'd had any imagination.  Diana, get a fresh change of clothes, and I'll keep administering the ipecac.  [later] I've given her the last of the ipecac.  Mary Joe, look after the water.  We'll change the muster plaster.  [still later, to doctor] I gave her every last drop of ipecac, but it wasn't until she coughed up the phlegm that she really began to improve.  You must imagine my relief, doctor.  Some things cannot be expressed in words.",ANNE," She's pretty bad, but I've seen worse. Put some wood in the stove, Mary Joe, and boil some water.  I don't mean to hurt your feelings, but you might have thought of that before if you'd had any imagination.  Diana, get a fresh change of clothes, and I'll keep administering the ipecac.  [later] I've given her the last of the ipecac.  Mary Joe, look after the water.  We'll change the muster plaster.  [still later, to doctor] I gave her every last drop of ipecac, but it wasn't until she coughed up the phlegm that she really began to improve.  You must imagine my relief, doctor.  Some things cannot be expressed in words."
68,DOCTOR: Would have been too late by the time I got here.  You saved this little baby's life.,DOCTOR,Would have been too late by the time I got here.  You saved this little baby's life.
69,SCENE: On a road.,SCENE,On a road.
70,ANNE:  I can't go to school.  I can barely keep my eyes open.  But I hate to stay at home; Gil will get ahead and...,ANNE, I can't go to school.  I can barely keep my eyes open.  But I hate to stay at home; Gil will get ahead and...
71,MATTHEW:  Gid'yup!,MATTHEW, Gid'yup!
72,SCENE: The Cuthbert kitchen.,SCENE,The Cuthbert kitchen.
73,ANNE:  Good morning.,ANNE, Good morning.
74,"MARILLA:  Afternoon's more like it, Anne.  You slept the day away, though no one's ever been more entitled to it, I hear.",MARILLA," Afternoon's more like it, Anne.  You slept the day away, though no one's ever been more entitled to it, I hear."
75,ANNE:  Did you meet the prime minister?  What does he look like?,ANNE, Did you meet the prime minister?  What does he look like?
76,"MARILLA:  Well, he certainly didn't become prime minister on account of his looks, but he's a fine speaker.  He shook my hand.",MARILLA," Well, he certainly didn't become prime minister on account of his looks, but he's a fine speaker.  He shook my hand."
77,ANNE:  How exciting.  I can just imagine the thrill of the rally with all those people.,ANNE, How exciting.  I can just imagine the thrill of the rally with all those people.
78,MARILLA:  Mrs. Barry was over here before begging to see you.  I wasn't about to wake you.  You're invited to dinner.  I should imagine humble pie is on the menu.,MARILLA, Mrs. Barry was over here before begging to see you.  I wasn't about to wake you.  You're invited to dinner.  I should imagine humble pie is on the menu.
79,"ANNE:  Marilla, may I go right now?  I'm aching to see Diana.",ANNE," Marilla, may I go right now?  I'm aching to see Diana."
80,SCENE: The Barry house.,SCENE,The Barry house.
81,"MRS. BARRY:  I'm so ashamed, Anne.  You saved my baby's life.",MRS. BARRY," I'm so ashamed, Anne.  You saved my baby's life."
82,"ANNE:  I harbor no hard feelings toward you, Mrs. Barry.  I hope you believe me once and for all that I never meant to intoxicate Diana.",ANNE," I harbor no hard feelings toward you, Mrs. Barry.  I hope you believe me once and for all that I never meant to intoxicate Diana."
83,"MRS. BARRY:  Of course I believe you, child.  I'm so sorry I ever doubted you.",MRS. BARRY," Of course I believe you, child.  I'm so sorry I ever doubted you."
84,DIANA:  Mother says you can come with us to the Christmas ball at Carmody.,DIANA, Mother says you can come with us to the Christmas ball at Carmody.
85,"MRS. BARRY:  And we'd be honored if you'd stay the night with Diana as well.  It's a very special occasion, and you would be our guest of honor.",MRS. BARRY," And we'd be honored if you'd stay the night with Diana as well.  It's a very special occasion, and you would be our guest of honor."
86,SCENE: The Cuthbert living room.,SCENE,The Cuthbert living room.
87,"MARILLA:  You can calm down because you're not going.  For a woman so adamantly against current wine, I'm surprised she's allowing Diana to go.  The ball is for adults, not children.",MARILLA," You can calm down because you're not going.  For a woman so adamantly against current wine, I'm surprised she's allowing Diana to go.  The ball is for adults, not children."
88,"ANNE:  But Marilla, it's Christmas.  The minister's gonna to be there.  He's giving an address, and that's almost the same as a sermon.",ANNE," But Marilla, it's Christmas.  The minister's gonna to be there.  He's giving an address, and that's almost the same as a sermon."
89,"MARILLA:  You heard what I said, and you know what I meant by it.  There'll be plenty of balls when you're older.",MARILLA," You heard what I said, and you know what I meant by it.  There'll be plenty of balls when you're older."
90,ANNE:  I was invited to spend the night.  I'm to be the guest of honor.,ANNE, I was invited to spend the night.  I'm to be the guest of honor.
91,"MARILLA:  Ah, well, it's just an honor you'll have to forego, aye?  Now off to bed.",MARILLA," Ah, well, it's just an honor you'll have to forego, aye?  Now off to bed."
92,ANNE:  This is a wound I shall bear forever.  Good night.,ANNE, This is a wound I shall bear forever.  Good night.
93,"MATTHEW:  You'd have been proud of her presence of mind, the way she saved that Barry baby.  Why don't you let her go?",MATTHEW," You'd have been proud of her presence of mind, the way she saved that Barry baby.  Why don't you let her go?"
94,"MARILLA:  Remember, Matthew, who we agreed would be raising her.  Mrs. Barry just wants to ease her conscience, and I'm not going to allow it.  And no amount of huffing and puffing from you, is going to change my mind.   You'd let her go to the moon, if she had the notion.  Well, I don't approve of balls.  Just full her head with nonsense.",MARILLA," Remember, Matthew, who we agreed would be raising her.  Mrs. Barry just wants to ease her conscience, and I'm not going to allow it.  And no amount of huffing and puffing from you, is going to change my mind.   You'd let her go to the moon, if she had the notion.  Well, I don't approve of balls.  Just full her head with nonsense."
95,"MATTHEW:  Fact is, Marilla, you never went to a ball.  Fact is, this whole idea's got you scared to death.   That little girl ought to have all the kindness we can give her.  We've got no call to raise her as cheerless as we was.  It ain't interfering to have an opinion.  Besides, it's Christmas.  You ought to let her go.",MATTHEW," Fact is, Marilla, you never went to a ball.  Fact is, this whole idea's got you scared to death.   That little girl ought to have all the kindness we can give her.  We've got no call to raise her as cheerless as we was.  It ain't interfering to have an opinion.  Besides, it's Christmas.  You ought to let her go."
96,SCENE: The Cuthbert kitchen.,SCENE,The Cuthbert kitchen.
97,"MARILLA:  Alright, you can go.  This is all Matthew's doing, though; I wash my hands of it.  If you get overheated and catch pneumonia, blame Matthew.",MARILLA," Alright, you can go.  This is all Matthew's doing, though; I wash my hands of it.  If you get overheated and catch pneumonia, blame Matthew."
98,"ANNE:  Marilla, I dreamt last night that I arrived at the ball in puffed sleeves and everyone was overcome by my regal am--",ANNE," Marilla, I dreamt last night that I arrived at the ball in puffed sleeves and everyone was overcome by my regal am--"
99,"MARILLA:  Regal, my eye.  You're dripping dirty, greasy water all over my clean floor!  And if I have to listen to anymore of this, I'll just change my mind, that's what I'll do.",MARILLA," Regal, my eye.  You're dripping dirty, greasy water all over my clean floor!  And if I have to listen to anymore of this, I'll just change my mind, that's what I'll do."
100,SCENE: Lawson's Mercantile,SCENE,Lawson's Mercantile
101,"ALICE LAWSON:  Well, Mr. Cuthbert, what can I do for you today?",ALICE LAWSON," Well, Mr. Cuthbert, what can I do for you today?"
102,"MATTHEW:  Well, now, uh... I'd like, uh... Have you got any, uh... Do you have any garden rakes?",MATTHEW," Well, now, uh... I'd like, uh... Have you got any, uh... Do you have any garden rakes?"
103,"ALICE LAWSON:  Now, we don't carry garden rakes in the store in December, but I'll check upstairs.  We may have one or two in storage. [leaves; returns]  The very last one.  ",ALICE LAWSON," Now, we don't carry garden rakes in the store in December, but I'll check upstairs.  We may have one or two in storage. [leaves; returns]  The very last one.  "
104,"MATTHEW:  Oh, that's nice.",MATTHEW," Oh, that's nice."
105,"ALICE LAWSON:  Will there be anything else, Mr. Cuthbert?",ALICE LAWSON," Will there be anything else, Mr. Cuthbert?"
106,"MATTHEW:  Well, since you suggested, uh...  I might want to look at some hayseed.",MATTHEW," Well, since you suggested, uh...  I might want to look at some hayseed."
107,"ALICE LAWSON:  Oh, we don't carry hayseed till spring, Mr. Cuthbert.",ALICE LAWSON," Oh, we don't carry hayseed till spring, Mr. Cuthbert."
108,"MATTHEW:  Oh, certainly.  Of course.",MATTHEW," Oh, certainly.  Of course."
109,"ALICE LAWSON:  That'll be 75 cents for the rake, Mr. Cuthbert.",ALICE LAWSON," That'll be 75 cents for the rake, Mr. Cuthbert."
110,"MATTHEW:  Uh, while I'm here, uh... I might want to look at, uh... If it wouldn't be too much trouble, uh... ",MATTHEW," Uh, while I'm here, uh... I might want to look at, uh... If it wouldn't be too much trouble, uh... "
111,ALICE LAWSON:  Yes...,ALICE LAWSON, Yes...
112,MATTHEW:  Sugar.,MATTHEW, Sugar.
113,ALICE LAWSON:  Sugar?,ALICE LAWSON, Sugar?
114,MATTHEW:  Some sugar.,MATTHEW, Some sugar.
115,"ALICE LAWSON:  Oh, white or brown?",ALICE LAWSON," Oh, white or brown?"
116,"MATTHEW:  Well, uh... What would you say?",MATTHEW," Well, uh... What would you say?"
117,"ALICE LAWSON:  Well, we have some nice brown sugar in stock, Mr. Cuthbert.  How much would you like?",ALICE LAWSON," Well, we have some nice brown sugar in stock, Mr. Cuthbert.  How much would you like?"
118,MATTHEW:  Well... Would twenty pounds be enough?,MATTHEW, Well... Would twenty pounds be enough?
119,"ALICE LAWSON:  Yes, I'm sure twenty pounds would be enough.  That'll be $1.",ALICE LAWSON," Yes, I'm sure twenty pounds would be enough.  That'll be $1."
120,MATTHEW:  [whispering] I need a dress.  With puffed sleeves.,MATTHEW, [whispering] I need a dress.  With puffed sleeves.
121,ALICE LAWSON:  Puffed sleeves?,ALICE LAWSON, Puffed sleeves?
122,MATTHEW:  For Anne.,MATTHEW, For Anne.
123,"ALICE LAWSON:  For land's sake, Mr. Cuthbert, why didn't you say so in the first place?  Now, you just come with me to the window.",ALICE LAWSON," For land's sake, Mr. Cuthbert, why didn't you say so in the first place?  Now, you just come with me to the window."
124,SCENE: The Cuthbert kitchen.,SCENE,The Cuthbert kitchen.
125,ANNE:  Oh!  It's so beautiful! ,ANNE, Oh!  It's so beautiful! 
126,"MARILLA:  Brown sugar, indeed.  I knew Matthew was up to some foolishness.",MARILLA," Brown sugar, indeed.  I knew Matthew was up to some foolishness."
127,"ANNE:  Marilla, look at the puffs.",ANNE," Marilla, look at the puffs."
128,MARILLA:  They're ridiculous.  You'll have to turn sideways to get through the doors.,MARILLA, They're ridiculous.  You'll have to turn sideways to get through the doors.
129,ANNE:  This can't be real.,ANNE, This can't be real.
130,"MARILLA:  I hope your satisfied, young lady.  I don't want you strutting around here vain as a peacock, so now you go upstairs and take that off.",MARILLA," I hope your satisfied, young lady.  I don't want you strutting around here vain as a peacock, so now you go upstairs and take that off."
131,ANNE:  I have to thank Matthew.,ANNE, I have to thank Matthew.
132,MARILLA:  Twenty pounds of brown sugar.,MARILLA, Twenty pounds of brown sugar.
133,SCENE: The barn.,SCENE,The barn.
134,"MATTHEW:  I should have waited till Christmas, but I thought you might want to wear it to the ball.  Don't you like it?",MATTHEW," I should have waited till Christmas, but I thought you might want to wear it to the ball.  Don't you like it?"
135,ANNE:  Like it?  It's more exquisite than any dress I could ever have imagined.,ANNE, Like it?  It's more exquisite than any dress I could ever have imagined.
136,MATTHEW:  Puffed sleeves.,MATTHEW, Puffed sleeves.
137,"ANNE:  The puffiest in the world.   You are a man of impeccable taste, Matthew.",ANNE," The puffiest in the world.   You are a man of impeccable taste, Matthew."
138,MATTHEW:  I don't want to get your dress dirty.,MATTHEW, I don't want to get your dress dirty.
139,SCENE: The ball.,SCENE,The ball.
140,"MRS. BARRY:  Diana.  Enjoy yourselves tonight, okay?  Hello, John, Martha, Elizabeth.  How are you?",MRS. BARRY," Diana.  Enjoy yourselves tonight, okay?  Hello, John, Martha, Elizabeth.  How are you?"
141,ANNE:  I'm positively certain this will spoil everyday life forever.,ANNE, I'm positively certain this will spoil everyday life forever.
142,"DIANA:  In three years, I'm going to wear my hair like Alice Bell.  She's only seventeen and I think she looks ridiculous.  I'm going to wait until I'm eighteen.   My, my.  Doesn't Gilbert look dashing tonight?",DIANA," In three years, I'm going to wear my hair like Alice Bell.  She's only seventeen and I think she looks ridiculous.  I'm going to wait until I'm eighteen.   My, my.  Doesn't Gilbert look dashing tonight?"
143,ANNE:  Gilbert?  I hadn't noticed him.,ANNE, Gilbert?  I hadn't noticed him.
144,DIANA:  It's too bad you've been so awful to him--he might of asked you to dance.,DIANA, It's too bad you've been so awful to him--he might of asked you to dance.
145,"ANNE:  If I wanted him to ask me, which I don't, he certainly would.   Gilbert Blythe would stand on his head for me if I asked him to.",ANNE," If I wanted him to ask me, which I don't, he certainly would.   Gilbert Blythe would stand on his head for me if I asked him to."
146,"DIANA:  Ah!  He looked right at you again, Anne!  I bet you couldn't get him to dance with you.",DIANA," Ah!  He looked right at you again, Anne!  I bet you couldn't get him to dance with you."
147,"ANNE:  Alright, Diana.  If you insist.  [goes over to Gilbert]  Good evening, Mr. Blythe.",ANNE," Alright, Diana.  If you insist.  [goes over to Gilbert]  Good evening, Mr. Blythe."
148,GILBERT:  [to a friend] Tell your brother I'll be seeing him at the tobogganing party.,GILBERT, [to a friend] Tell your brother I'll be seeing him at the tobogganing party.
149,PUNCH WOMAN:  A glass of punch?,PUNCH WOMAN, A glass of punch?
150,ANNE:  Thank you.,ANNE, Thank you.
